id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-01-05 11:53:38,"{""short_code"":""z3W2Bj"",""original_url"":""https://hackstack.io/urban/pioneer/1""}"
2,2,363,created,2025-07-22 03:38:05,"{""short_code"":""duDbQp"",""original_url"":""https://example.com/mellow/canyon/2""}"
3,3,367,created,2025-10-28 04:47:38,"{""short_code"":""ixug3q"",""original_url"":""https://example.com/clear/signal/3""}"
4,4,301,created,2026-01-13 04:34:49,"{""short_code"":""cXE6ni"",""original_url"":""https://seeded.app/calm/window/4""}"
5,5,125,created,2025-09-21 04:01:01,"{""short_code"":""O9E9a0"",""original_url"":""https://opswise.net/clear/orbit/5""}"
6,6,126,created,2025-12-20 05:28:35,"{""short_code"":""GMdGvq"",""original_url"":""https://hackstack.io/brisk/meadow/6""}"
7,7,221,created,2025-02-08 18:02:53,"{""short_code"":""wBglXF"",""original_url"":""https://hackstack.io/ivory/signal/7""}"
8,8,178,created,2026-01-19 11:45:17,"{""short_code"":""yXpNMm"",""original_url"":""https://seeded.app/mellow/network/8""}"
9,9,362,created,2025-05-29 15:34:43,"{""short_code"":""Ko58M8"",""original_url"":""https://seeded.app/harbor/river/9""}"
10,10,61,created,2025-05-17 06:02:36,"{""short_code"":""VVivJ0"",""original_url"":""https://opswise.net/cobalt/river/10""}"
11,11,358,created,2026-02-01 08:57:27,"{""short_code"":""B1ttBY"",""original_url"":""https://opswise.net/calm/delta/11""}"
12,12,247,created,2025-04-03 23:43:05,"{""short_code"":""HBGSX5"",""original_url"":""https://example.com/jade/quartz/12""}"
13,13,101,created,2025-09-11 04:58:45,"{""short_code"":""kTk9RX"",""original_url"":""https://acme.dev/lively/journey/13""}"
14,14,142,created,2025-09-16 13:57:53,"{""short_code"":""cBFTr2"",""original_url"":""https://seeded.app/young/kernel/14""}"
15,15,202,created,2025-07-04 22:03:26,"{""short_code"":""5uMwdM"",""original_url"":""https://acme.dev/lively/uplink/15""}"
16,16,66,created,2025-05-13 08:50:35,"{""short_code"":""tqgqtg"",""original_url"":""https://acme.dev/brisk/window/16""}"
17,17,23,created,2025-07-03 11:21:40,"{""short_code"":""AmFjfy"",""original_url"":""https://seeded.app/ivory/trail/17""}"
18,18,285,created,2026-01-25 15:28:02,"{""short_code"":""LC2VyP"",""original_url"":""https://opswise.net/ivory/delta/18""}"
19,19,184,created,2025-06-09 10:01:30,"{""short_code"":""pfQEaw"",""original_url"":""https://seeded.app/rapid/uplink/19""}"
20,20,353,created,2025-10-01 07:11:19,"{""short_code"":""EKbwUN"",""original_url"":""https://relay.cloud/warm/trail/20""}"
21,21,117,created,2025-03-19 13:58:50,"{""short_code"":""JfQ0ca"",""original_url"":""https://acme.dev/cobalt/window/21""}"
22,22,135,created,2025-07-27 12:38:22,"{""short_code"":""8rg4iS"",""original_url"":""https://acme.dev/brisk/uplink/22""}"
23,23,249,created,2025-01-28 23:44:43,"{""short_code"":""Ca5EZX"",""original_url"":""https://example.com/rapid/signal/23""}"
24,24,305,created,2025-07-27 18:47:36,"{""short_code"":""eOGLf6"",""original_url"":""https://example.com/calm/orbit/24""}"
25,25,397,created,2025-05-05 15:44:25,"{""short_code"":""eVKgJd"",""original_url"":""https://seeded.app/tidy/orbit/25""}"
26,26,160,created,2025-04-21 11:05:35,"{""short_code"":""iBwOmL"",""original_url"":""https://acme.dev/tidy/delta/26""}"
27,27,369,created,2025-02-10 01:44:52,"{""short_code"":""S5hW78"",""original_url"":""https://hackstack.io/harbor/kernel/27""}"
28,28,387,created,2025-11-14 07:52:29,"{""short_code"":""A2LmZV"",""original_url"":""https://example.com/gold/signal/28""}"
29,29,249,created,2025-02-05 14:29:00,"{""short_code"":""PgaDAU"",""original_url"":""https://hackstack.io/cobalt/valley/29""}"
30,30,201,created,2025-03-07 01:40:16,"{""short_code"":""CxaJL5"",""original_url"":""https://acme.dev/quiet/beacon/30""}"
31,31,24,created,2025-12-18 21:05:47,"{""short_code"":""OdvIsu"",""original_url"":""https://hackstack.io/brisk/uplink/31""}"
32,32,328,created,2025-03-21 05:26:56,"{""short_code"":""EN6UdW"",""original_url"":""https://acme.dev/dawn/pioneer/32""}"
33,33,237,created,2025-06-22 14:07:09,"{""short_code"":""6GvuXJ"",""original_url"":""https://hackstack.io/jade/canyon/33""}"
34,34,29,created,2025-01-20 04:20:07,"{""short_code"":""x8VRFV"",""original_url"":""https://seeded.app/warm/island/34""}"
35,35,258,created,2025-01-26 21:16:58,"{""short_code"":""BnWXvY"",""original_url"":""https://seeded.app/ember/yard/35""}"
36,36,2,created,2025-03-23 05:02:35,"{""short_code"":""XovJL2"",""original_url"":""https://example.com/keen/delta/36""}"
37,37,139,created,2025-10-09 15:25:28,"{""short_code"":""nN28et"",""original_url"":""https://acme.dev/silver/signal/37""}"
38,38,9,created,2025-03-21 01:03:49,"{""short_code"":""OA6HOH"",""original_url"":""https://acme.dev/warm/lagoon/38""}"
39,39,194,created,2026-02-05 09:08:57,"{""short_code"":""pMYJG5"",""original_url"":""https://seeded.app/opal/beacon/39""}"
40,40,77,created,2025-06-14 01:34:18,"{""short_code"":""gbh99q"",""original_url"":""https://seeded.app/clear/garden/40""}"
41,41,138,created,2025-04-11 06:06:50,"{""short_code"":""hNdcHA"",""original_url"":""https://hackstack.io/mellow/quartz/41""}"
42,42,203,created,2025-10-03 11:34:49,"{""short_code"":""aqfnpF"",""original_url"":""https://seeded.app/clear/island/42""}"
43,43,280,created,2025-07-16 17:55:01,"{""short_code"":""Nmiyiz"",""original_url"":""https://seeded.app/tidy/anchor/43""}"
